index,problematic_features
7238,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7245,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
7271,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7291,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7303,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7318,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7325,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7337,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7393,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7413,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7416,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7448,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7453,['⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.057)']
7463,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
7465,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7490,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7705,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7713,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7733,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7771,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7774,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7808,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7816,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7837,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7859,"['⚠️  Smoker=1 reduced risk (SHAP -0.011)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.057)']"
7862,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7869,"['⚠️  Smoker=1 reduced risk (SHAP -0.010)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.056)']"
7882,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7884,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7900,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7904,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7912,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
7917,['⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.057)']
7929,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7973,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7978,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7986,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8022,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8031,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8036,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8039,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8041,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8069,"['⚠️  Smoker=1 reduced risk (SHAP -0.012)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']"
8084,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8089,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8093,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8102,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8134,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8139,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8182,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8201,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
8215,"['⚠️  Smoker=1 reduced risk (SHAP -0.012)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']"
8219,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
8280,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8284,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8286,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
8292,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8305,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8381,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8386,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
8396,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8401,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
8430,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8438,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8482,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8509,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8525,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8533,"['⚠️  Smoker=1 reduced risk (SHAP -0.012)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']"
8580,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8655,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8671,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8679,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8685,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8698,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8709,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8722,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
8747,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
8749,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
